"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.313234144E2,6.494436636E1,2.539435188E1,1.486115982E0,1.179999948E0,8.559999847E1,2.500000000E0,2.000000000E0
1.323402432E2,6.494437088E1,2.539436856E1,1.486120294E0,1.129999995E0,8.580000305E1,2.500000000E0,2.000000000E0
1.333286276E2,6.494436992E1,2.539439823E1,1.486120260E0,1.029999971E0,8.069999695E1,2.500000000E0,2.000000000E0
1.343275176E2,6.494437101E1,2.539441877E1,4.861217383E-1,1.069999933E0,8.019999695E1,2.500000000E0,2.000000000E0
1.352653012E2,6.494437302E1,2.539444325E1,4.861241092E-1,1.039999962E0,8.290000153E1,2.500000000E0,2.000000000E0
1.362668968E2,6.494437616E1,2.539447409E1,4.861276168E-1,1.100000024E0,8.569999695E1,2.500000000E0,2.000000000E0
1.373246348E2,6.494437725E1,2.539449194E1,4.861290235E-1,1.139999986E0,8.509999847E1,2.500000000E0,2.000000000E0
1.383228973E2,6.494437776E1,2.539452262E1,-5.138697298E-1,1.189999938E0,8.459999847E1,2.500000000E0,2.000000000E0
1.393400071E2,6.494438086E1,2.539454442E1,-1.513866499E0,1.230000019E0,8.359999847E1,2.500000000E0,2.000000000E0
1.403048033E2,6.494438283E1,2.539456638E1,-1.513864230E0,1.220000029E0,8.119999695E1,2.500000000E0,2.000000000E0
1.413237591E2,6.494438593E1,2.539459236E1,-1.513860888E0,1.179999948E0,8.000000000E1,2.500000000E0,2.000000000E0
1.423342854E2,6.494438832E1,2.539462036E1,-1.513858100E0,1.220000029E0,8.150000000E1,2.500000000E0,2.000000000E0
1.433443716E2,6.494438949E1,2.539464307E1,-2.513856492E0,1.269999981E0,8.309999847E1,2.500000000E0,2.000000000E0
1.443434999E2,6.494438568E1,2.539467115E1,-1.513859004E0,1.199999928E0,8.350000000E1,2.500000000E0,2.000000000E0
1.453255565E2,6.494438496E1,2.539469261E1,-2.513859042E0,1.220000029E0,8.600000000E1,2.500000000E0,2.000000000E0
1.463317676E2,6.494438488E1,2.539471985E1,-2.513858388E0,1.199999928E0,8.509999847E1,2.500000000E0,2.000000000E0
1.473133760E2,6.494438404E1,2.539474818E1,-2.513858350E0,1.339999914E0,8.580000305E1,2.500000000E0,2.000000000E0
1.483326239E2,6.494438404E1,2.539477726E1,-1.513857575E0,1.459999919E0,8.430000305E1,2.500000000E0,2.000000000E0
1.493245094E2,6.494438689E1,2.539480166E1,-1.513854490E0,1.250000000E0,8.590000153E1,2.500000000E0,2.000000000E0
1.503498834E2,6.494438727E1,2.539483300E1,-2.513853332E0,1.299999952E0,8.569999695E1,2.500000000E0,2.000000000E0
